 , 10 , 20 , 40 , 80 , 160 , 320 , 640 , 1280 , 2560 , 5120 , 10240 , 
0.001 , 0, 0, 0, 0, 0, 0, 0, 13, 2173.85, 7554, 20259.1, 
0.051 , 0, 2, 42, 112, 308, 747, 1954, 4850, 11360.9, 26239.8, 59818.9, 
0.101 , 6, 20, 54, 152, 388, 1030, 2388, 5681.68, 13323.5, 29635.1, 66949.4, 
0.151 , 5, 22, 71, 196, 489, 1160, 2557.57, 6100.5, 14092.1, 31689, 70712.6, 
0.201 , 9, 26, 72, 197, 491, 1218, 2820, 6533.88, 14730.6, 33195, 73892.5, 
0.251 , 9, 30, 76, 202, 551, 1274.5, 2952.5, 6934.27, 15301.1, 34548.4, 76003.9, 
0.301 , 10, 30, 92, 239, 536, 1319, 3075.88, 7155.7, 16003.8, 35278.4, 77785.9, 
0.351 , 15, 37, 93, 224, 570, 1430.5, 3172.47, 7237.18, 16403.3, 36235.3, 79585.1, 
0.401 , 11, 35, 104, 224, 615, 1487, 3226.5, 7444.2, 16617.5, 36949.6, 80936.8, 
0.451 , 15, 36, 102, 258, 637.4, 1459, 3224, 7548.43, 17000.1, 37489.8, 81876.1, 
0.501 , 11, 43, 93, 260, 642, 1455, 3430, 7601.68, 17268, 38037.4, 82986.9, 
0.551 , 10, 43, 107, 264, 635, 1451.5, 3485, 7978.88, 17363.8, 38385.8, 84102.8, 
0.601 , 15, 46, 105, 262, 669, 1592, 3484.6, 7906.95, 17685.8, 38947.7, 85045.8, 
0.651 , 15, 49, 112, 289, 670, 1569.7, 3530.5, 8036.23, 17959.5, 39217.2, 85692.9, 
0.701 , 12, 34, 125, 267, 655, 1557, 3541.5, 8105.68, 18038.5, 39741.2, 86514.9, 
0.751 , 20, 49, 121, 279, 650, 1640, 3664.12, 8292.6, 18219.8, 40031.8, 87129.7, 
0.801 , 18, 45, 137, 309, 746, 1684, 3629.8, 8269.67, 18297.4, 40327.4, 87848.2, 
0.851 , 20, 49, 120, 320, 714, 1646.45, 3726, 8406.23, 18597.8, 40565.1, 88383.9, 
0.901 , 23, 52, 115, 302, 738, 1720.5, 3566.18, 8441.65, 18770.7, 41027.4, 89157, 
0.951 , 19, 51, 133.3, 336, 754, 1629.5, 3721.7, 8519.7, 18802.7, 41338.4, 89703.1, 
1.001 , 20, 49, 128, 323, 763, 1660.05, 3769, 8507.48, 19044.2, 41473, 90267.3, 
1.051 , 17, 48, 121.45, 283, 709, 1707.5, 3824.62, 8548.62, 18986.6, 41562, 90372.9, 
