0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 
8.83e-07, 5.815e-07, 3.26e-07, 2.36375e-07, 2.42438e-07, 2.46031e-07, 2.43063e-07, 2.54375e-07, 2.6441e-07, 2.92295e-07, 2.8975e-07, 3.17062e-07, 3.4603e-07, 4.36184e-07, 4.13616e-07, 4.20986e-07, 4.59882e-07, 4.65758e-07, 4.917e-07, 5.12612e-07, 5.47932e-07, 5.60677e-07, 5.94235e-07, 6.061e-07, 6.3458e-07, 6.67394e-07, 
4.819e-06, 1.0595e-06, 3e-07, 2.325e-07, 2.43813e-07, 2.47875e-07, 2.45359e-07, 2.49109e-07, 2.59098e-07, 2.85717e-07, 2.8297e-07, 3.11195e-07, 3.26328e-07, 4.87076e-07, 3.67317e-07, 3.85956e-07, 4.48426e-07, 4.68752e-07, 4.87615e-07, 5.20657e-07, 5.35177e-07, 5.57185e-07, 5.81755e-07, 6.0364e-07, 6.26271e-07, 6.48607e-07, 
8.602e-06, 5.322e-06, 2.189e-06, 9.89e-07, 6.39125e-07, 4.99688e-07, 4.27422e-07, 3.96211e-07, 3.9673e-07, 4.14193e-07, 3.76521e-07, 3.55301e-07, 3.90656e-07, 3.88291e-07, 3.83963e-07, 4.60493e-07, 4.89477e-07, 5.17804e-07, 5.3871e-07, 5.64966e-07, 5.88203e-07, 6.11299e-07, 6.32338e-07, 6.59564e-07, 6.82551e-07, 7.07221e-07, 
2.6341e-05, 1.5671e-05, 6.91975e-06, 2.11675e-06, 1.09481e-06, 6.60594e-07, 4.84344e-07, 3.98109e-07, 4.65293e-07, 4.34611e-07, 4.88388e-07, 4.88983e-07, 4.28425e-07, 4.69103e-07, 4.98806e-07, 5.301e-07, 5.5604e-07, 5.79532e-07, 6.1168e-07, 6.51819e-07, 6.72278e-07, 7.13847e-07, 7.36662e-07, 7.75287e-07, 8.10991e-07, 8.39933e-07, 
4.971e-06, 1.14e-06, 3.5075e-07, 2.9275e-07, 2.67938e-07, 2.85844e-07, 3.06844e-07, 3.36266e-07, 4.21793e-07, 5.35648e-07, 3.22516e-07, 5.1142e-07, 5.90224e-07, 6.65903e-07, 6.11488e-07, 6.32945e-07, 6.26027e-07, 6.73517e-07, 6.70252e-07, 7.15202e-07, 7.38472e-07, 7.76412e-07, 8.12131e-07, 8.55345e-07, 8.89172e-07, 9.33411e-07, 
5.263e-06, 1.236e-06, 3.565e-07, 2.60625e-07, 2.62313e-07, 2.82438e-07, 2.84156e-07, 4.64453e-07, 3.49531e-07, 3.83908e-07, 4.62898e-07, 5.2785e-07, 6.1695e-07, 5.45751e-07, 6.45842e-07, 6.80008e-07, 6.67286e-07, 6.85876e-07, 6.97531e-07, 7.33484e-07, 7.64127e-07, 8.04117e-07, 8.38895e-07, 8.83605e-07, 9.29633e-07, 9.70004e-07, 
1.219e-06, 1.17e-06, 3.5625e-07, 2.6775e-07, 2.67188e-07, 2.75531e-07, 2.88688e-07, 3.01984e-07, 6.81965e-07, 3.73957e-07, 4.17057e-07, 4.90618e-07, 7.42033e-07, 5.69157e-07, 6.91924e-07, 7.13088e-07, 7.38772e-07, 7.18627e-07, 7.30624e-07, 7.53591e-07, 7.8095e-07, 8.14827e-07, 8.51547e-07, 8.89105e-07, 9.25413e-07, 9.56363e-07, 
4.769e-06, 1.154e-06, 3.6525e-07, 2.64375e-07, 2.64625e-07, 2.84531e-07, 2.77094e-07, 2.91852e-07, 3.13816e-07, 3.57699e-07, 3.75218e-07, 2.43443e-07, 5.19473e-07, 4.38145e-07, 6.23061e-07, 6.82332e-07, 6.98189e-07, 7.07834e-07, 7.29167e-07, 7.50214e-07, 7.72005e-07, 7.89979e-07, 8.27336e-07, 8.66713e-07, 9.01078e-07, 9.32163e-07, 
1.4804e-05, 8.8845e-06, 3.699e-06, 9.9125e-07, 1.90356e-06, 5.32312e-07, 3.86344e-07, 3.33961e-07, 3.25555e-07, 3.39811e-07, 3.78599e-07, 3.97077e-07, 3.95007e-07, 5.42463e-07, 6.21505e-07, 6.41496e-07, 7.08968e-07, 7.05187e-07, 7.25835e-07, 7.36164e-07, 7.66457e-07, 7.89075e-07, 8.17971e-07, 8.49199e-07, 8.75567e-07, 9.09381e-07, 
1.191e-06, 1.292e-06, 4.0575e-07, 3.00125e-07, 2.80125e-07, 6.75594e-07, 3.08125e-07, 2.9368e-07, 3.07535e-07, 3.27846e-07, 3.59867e-07, 5.1112e-07, 4.32088e-07, 4.22993e-07, 5.32574e-07, 6.18414e-07, 6.60054e-07, 7.01432e-07, 7.12669e-07, 7.35034e-07, 7.58174e-07, 7.82696e-07, 8.06033e-07, 8.35564e-07, 8.63453e-07, 8.90624e-07, 
1.308e-06, 1.33e-06, 4.9325e-07, 2.955e-07, 2.86313e-07, 2.84031e-07, 2.84109e-07, 2.95875e-07, 3.00988e-07, 3.24545e-07, 3.57987e-07, 3.84053e-07, 3.43654e-07, 4.95185e-07, 5.49215e-07, 6.47812e-07, 6.51761e-07, 6.82927e-07, 7.06897e-07, 7.31029e-07, 7.583e-07, 7.82639e-07, 8.05415e-07, 8.27479e-07, 8.48762e-07, 8.76745e-07, 
